3.3,42,40.5,41.4,2.8
3.35,41.1,39.8,38.8,-0.2
3.4,40.7,38.2,39.8,-1.4
3.45,40,38.9,16.7,-2.6
3.5,38.6,38.3,32.3,-6.6
3.55,37.8,36.6,37.4,-10.6
3.6,37.3,35.1,31.9,-13.4
3.65,35.8,35.3,31.3,-16.2
3.7,35.3,32.7,28.1,-17.6
3.75,34.9,34,25.2,-19
3.8,33.7,34.3,22.3,-21.3
3.85,33.3,32,17.4,-23.7
3.9,33.2,33.9,27.1,-37
3.95,32.8,34.6,12,-50.4
4,33.9,34,24.1,-54.6
4.05,34.3,33.2,22.4,-58.9
4.1,34.2,33.1,25.5,-59.8
4.15,34.8,33.3,28.5,-60.7
4.2,35.2,36,25.7,-63.1
4.25,35.2,37.3,24.3,-65.4
4.3,36.1,36.2,21.6,-73.6
4.35,35.9,36.1,29.9,-81.8
4.4,35.5,35.8,29.3,-79
4.45,35,35.6,31.9,-76.2
4.5,33.9,35,33.8,-53
4.55,34.8,35.7,35.9,-29.8
4.6,37.5,35.8,34.1,5.2
4.65,34,36.2,35.1,40.1
4.7,37.5,37.1,36.4,60
4.75,41.1,38.8,36.4,80
4.8,40.9,38.7,34.9,89.3
4.85,37.3,38.8,18.1,98.7
4.9,38.1,39.6,38.2,98.7
4.95,42.8,40.7,13.8,98.7
5,43.4,42,37,98.7
5.05,40.9,42.2,40.4,98.7
5.1,39.5,43.3,40,99
5.15,43,43.6,38.4,99.2
5.2,45.1,44.3,37.4,99
5.25,44,43.3,25.8,98.7
5.3,44.8,43.3,41.6,98.7
5.35,41.6,43.2,16.7,98.7
5.4,42.8,44,39.8,88.9
5.45,44.1,44.3,39.6,79
5.5,45.4,44.8,19.8,63.5
5.55,47.7,45.9,43.1,48.1
5.6,45.8,45.2,16.7,59.1
5.65,44,45.8,40.8,70.1
5.7,45.3,46.8,40.8,70.3
5.75,46.3,47.2,20.3,70.6
5.8,48,47.2,42,59.1
5.85,47.1,48.6,17.3,47.6
5.9,47.5,48.9,44.3,23.4
5.95,47.8,47.5,42.8,-0.7
6,47,45.1,20.2,-11.7
6.05,43.8,43.8,43.6,-22.7
6.1,41.6,42.1,21.8,-18.5
6.15,41.8,41.5,41.5,-14.3
6.2,41.4,41,38.5,-4.2
6.25,41.2,40.9,20.2,5.9
6.3,41,40.7,41.4,7.5
6.35,39.9,39.9,15.8,9.1
6.4,40.8,38.7,38.6,9.1
6.45,40.6,38.5,35.5,9.1
6.5,41.1,62,37.1,1.6
6.55,43,47.7,35.9,-5.9
6.6,44.9,46.3,34,-15.5
6.65,44.9,44,18.9,-25.1
6.7,44.6,45.9,39.6,-30.7
6.75,45.8,46.8,10,-36.3
6.8,46.2,48.5,41,-29.8
6.85,47,48.4,42.3,-23.2
6.9,47.8,47.3,42.1,-22.5
6.95,47.8,48.1,43,-21.8
7,48.6,47.8,10.9,-18.8
7.05,48.6,48.3,43.9,-15.7
7.1,50.4,49.7,44,-15.9
7.15,51.5,50.6,34,-16.2
7.2,55.2,53.1,47.7,-14.8
7.25,55.2,63.6,47.2,-13.4
7.3,57,55.5,49.5,-13.8
